404.2	99.95
394.0	99.90
377.7	99.70
366.5	99.50
350.4	99.00
339.9	98.50
332.0	98.00
320.9	97.00
312.1	96.00
304.8	95.00
298.3	94.00
292.3	93.00
286.8	92.00
282.0	91.00
277.7	90.00
273.4	89.00
269.4	88.00
264.9	87.00
263.8	86.00
258.2	85.00
254.9	84.00
251.5	83.00
248.2	82.00
245.4	81.00
242.5	80.00
240.0	79.00
237.4	78.00
234.9	77.00
232.4	76.00
230.0	75.00
227.4	74.00
224.9	73.00
222.4	72.00
220.1	71.00
218.0	70.00
215.8	69.00
213.5	68.00
211.3	67.00
209.3	66.00
207.2	65.00
205.2	64.05
203.2	63.00
201.3	62.00
199.4	61.00
197.5	60.05
187.6	55.00
178.0	50.00
157.0	40.00
132.4	30.05
